quarter,level_1,level_2,value
1970-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),General Manufacturing Industries,na
1970-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),Electronics,na
1970-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),Chemicals,na
1970-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),Biomedical Manufacturing,na
1970-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),Precision Engineering,na
1970-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),Transport Engineering,na
1970-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),General Manufacturing Industries,na
1970-Q3,Average Selling Prices (Forecast For Next Quarter),Electronics,na
1970-Q3,Average Selling Prices (Forecast For Next Quarter),Chemicals,na
1970-Q3,Average Selling Prices (Forecast For Next Quarter),Biomedical Manufacturing,na
1970-Q3,Average Selling Prices (Forecast For Next Quarter),Precision Engineering,na
1970-Q3,Average Selling Prices (Forecast For Next Quarter),Transport Engineering,na
1970-Q3,Average Selling Prices (Forecast For Next Quarter),General Manufacturing Industries,na
1970-Q3,Investment On Buildings (Forecast - Next 12 Months),Electronics,na
1970-Q3,Investment On Buildings (Forecast - Next 12 Months),Chemicals,na
1970-Q3,Investment On Buildings (Forecast - Next 12 Months),Biomedical Manufacturing,na
1970-Q3,Investment On Buildings (Forecast - Next 12 Months),Precision Engineering,na
1970-Q3,Investment On Buildings (Forecast - Next 12 Months),Transport Engineering,na
1970-Q3,Investment On Buildings (Forecast - Next 12 Months),General Manufacturing Industries,na
1970-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),Electronics,na
1970-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),Chemicals,na
1970-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),Biomedical Manufacturing,na
1970-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),Precision Engineering,na
1970-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),Transport Engineering,na
1970-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),General Manufacturing Industries,na
1970-Q4,General Business Expectations (Forecast For Next 6 Months),Electronics,na
1970-Q4,General Business Expectations (Forecast For Next 6 Months),Chemicals,na
1970-Q4,General Business Expectations (Forecast For Next 6 Months),Biomedical Manufacturing,na
1970-Q4,General Business Expectations (Forecast For Next 6 Months),Precision Engineering,na
1970-Q4,General Business Expectations (Forecast For Next 6 Months),Transport Engineering,na
1970-Q4,General Business Expectations (Forecast For Next 6 Months),General Manufacturing Industries,na
1970-Q4,Numbers Employed (Forecast For Next Quarter),Electronics,na
1970-Q4,Numbers Employed (Forecast For Next Quarter),Chemicals,na
1970-Q4,Numbers Employed (Forecast For Next Quarter),Biomedical Manufacturing,na
1970-Q4,Numbers Employed (Forecast For Next Quarter),Precision Engineering,na
1970-Q4,Numbers Employed (Forecast For Next Quarter),Transport Engineering,na
1970-Q4,Numbers Employed (Forecast For Next Quarter),General Manufacturing Industries,na
1970-Q4,Overtime (Forecast For Next Quarter),Electronics,na
1970-Q4,Overtime (Forecast For Next Quarter),Chemicals,na
1970-Q4,Overtime (Forecast For Next Quarter),Biomedical Manufacturing,na
1970-Q4,Overtime (Forecast For Next Quarter),Precision Engineering,na
1970-Q4,Overtime (Forecast For Next Quarter),Transport Engineering,na
1970-Q4,Overtime (Forecast For Next Quarter),General Manufacturing Industries,na
1970-Q4,Output (Forecast For Next Quarter),Biomedical Manufacturing,na
1970-Q4,Output (Forecast For Next Quarter),Precision Engineering,na
1970-Q4,Output (Forecast For Next Quarter),Transport Engineering,na
1970-Q4,Output (Forecast For Next Quarter),General Manufacturing Industries,na
1970-Q4,Total New Orders Received (Forecast For Next Quarter),Electronics,na
1970-Q4,Total New Orders Received (Forecast For Next Quarter),Chemicals,na
1970-Q4,Total New Orders Received (Forecast For Next Quarter),Biomedical Manufacturing,na
1970-Q4,Total New Orders Received (Forecast For Next Quarter),Precision Engineering,na
1970-Q4,Total New Orders Received (Forecast For Next Quarter),Transport Engineering,na
1970-Q4,Total New Orders Received (Forecast For Next Quarter),General Manufacturing Industries,na
1970-Q4,Domestic Orders (Forecast For Next Quarter),Electronics,na
1970-Q4,Domestic Orders (Forecast For Next Quarter),Chemicals,na
1970-Q4,Domestic Orders (Forecast For Next Quarter),Biomedical Manufacturing,na
1970-Q4,Domestic Orders (Forecast For Next Quarter),Precision Engineering,na
1970-Q4,Domestic Orders (Forecast For Next Quarter),Transport Engineering,na
1970-Q4,Domestic Orders (Forecast For Next Quarter),General Manufacturing Industries,na
1970-Q4,Export Orders (Forecast For Next Quarter),Electronics,na
1970-Q4,Export Orders (Forecast For Next Quarter),Chemicals,na
1970-Q4,Export Orders (Forecast For Next Quarter),Biomedical Manufacturing,na
1970-Q4,Export Orders (Forecast For Next Quarter),Precision Engineering,na
1970-Q4,Export Orders (Forecast For Next Quarter),Transport Engineering,na
1970-Q4,Export Orders (Forecast For Next Quarter),General Manufacturing Industries,na
1970-Q4,Deliveries In Singapore (Forecast For Next Quarter),Electronics,na
1970-Q4,Deliveries In Singapore (Forecast For Next Quarter),Chemicals,na
1970-Q4,Deliveries In Singapore (Forecast For Next Quarter),Biomedical Manufacturing,na
1970-Q4,Deliveries In Singapore (Forecast For Next Quarter),Precision Engineering,na
1970-Q4,Deliveries In Singapore (Forecast For Next Quarter),Transport Engineering,na
1970-Q4,Deliveries In Singapore (Forecast For Next Quarter),General Manufacturing Industries,na
1970-Q4,Deliveries Overseas (Forecast For Next Quarter),Electronics,na
1970-Q4,Deliveries Overseas (Forecast For Next Quarter),Chemicals,na
1970-Q4,Deliveries Overseas (Forecast For Next Quarter),Biomedical Manufacturing,na
1970-Q4,Deliveries Overseas (Forecast For Next Quarter),Precision Engineering,na
1970-Q4,Deliveries Overseas (Forecast For Next Quarter),Transport Engineering,na
1970-Q4,Deliveries Overseas (Forecast For Next Quarter),General Manufacturing Industries,na
1970-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),Electronics,na
1970-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),Chemicals,na
1970-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),Biomedical Manufacturing,na
1970-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),Precision Engineering,na
1970-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),Transport Engineering,na
1970-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),General Manufacturing Industries,na
1970-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),Electronics,na
1970-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),Chemicals,na
1970-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),Biomedical Manufacturing,na
1970-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),Precision Engineering,na
1970-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),Transport Engineering,na
1970-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),General Manufacturing Industries,na
1970-Q4,Average Selling Prices (Forecast For Next Quarter),Electronics,na
1970-Q4,Average Selling Prices (Forecast For Next Quarter),Chemicals,na
1970-Q4,Average Selling Prices (Forecast For Next Quarter),Biomedical Manufacturing,na
1970-Q4,Average Selling Prices (Forecast For Next Quarter),Precision Engineering,na
1970-Q4,Average Selling Prices (Forecast For Next Quarter),Transport Engineering,na
1970-Q4,Average Selling Prices (Forecast For Next Quarter),General Manufacturing Industries,na
1970-Q4,Investment On Buildings (Forecast - Next 12 Months),Electronics,na
1970-Q4,Investment On Buildings (Forecast - Next 12 Months),Chemicals,na
1970-Q4,Investment On Buildings (Forecast - Next 12 Months),Biomedical Manufacturing,na
1970-Q4,Investment On Buildings (Forecast - Next 12 Months),Precision Engineering,na
1970-Q4,Investment On Buildings (Forecast - Next 12 Months),Transport Engineering,na
1970-Q4,Investment On Buildings (Forecast - Next 12 Months),General Manufacturing Industries,na
1970-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),Electronics,na
1970-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),Chemicals,na
1970-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),Biomedical Manufacturing,na
1970-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),Precision Engineering,na
1970-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),Transport Engineering,na
1970-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),General Manufacturing Industries,na
1971-Q1,General Business Expectations (Forecast For Next 6 Months),Electronics,na
1971-Q1,General Business Expectations (Forecast For Next 6 Months),Chemicals,na
1971-Q1,General Business Expectations (Forecast For Next 6 Months),Biomedical Manufacturing,na
1971-Q1,General Business Expectations (Forecast For Next 6 Months),Precision Engineering,na
1971-Q1,General Business Expectations (Forecast For Next 6 Months),Transport Engineering,na
1971-Q1,General Business Expectations (Forecast For Next 6 Months),General Manufacturing Industries,na
1971-Q1,Numbers Employed (Forecast For Next Quarter),Electronics,na
1971-Q1,Numbers Employed (Forecast For Next Quarter),Chemicals,na
1971-Q1,Numbers Employed (Forecast For Next Quarter),Biomedical Manufacturing,na
1971-Q1,Numbers Employed (Forecast For Next Quarter),Precision Engineering,na
1971-Q1,Numbers Employed (Forecast For Next Quarter),Transport Engineering,na
1971-Q1,Numbers Employed (Forecast For Next Quarter),General Manufacturing Industries,na
1971-Q1,Overtime (Forecast For Next Quarter),Electronics,na
1971-Q1,Overtime (Forecast For Next Quarter),Chemicals,na
1971-Q1,Overtime (Forecast For Next Quarter),Biomedical Manufacturing,na
1971-Q1,Overtime (Forecast For Next Quarter),Precision Engineering,na
1971-Q1,Overtime (Forecast For Next Quarter),Transport Engineering,na
1971-Q1,Overtime (Forecast For Next Quarter),General Manufacturing Industries,na
1971-Q1,Output (Forecast For Next Quarter),Electronics,na
1971-Q1,Output (Forecast For Next Quarter),Chemicals,na
1971-Q1,Output (Forecast For Next Quarter),Biomedical Manufacturing,na
1971-Q1,Output (Forecast For Next Quarter),Precision Engineering,na
1971-Q1,Output (Forecast For Next Quarter),Transport Engineering,na
1971-Q1,Output (Forecast For Next Quarter),General Manufacturing Industries,na
1971-Q1,Total New Orders Received (Forecast For Next Quarter),Electronics,na
1971-Q1,Total New Orders Received (Forecast For Next Quarter),Chemicals,na
1971-Q1,Total New Orders Received (Forecast For Next Quarter),Biomedical Manufacturing,na
1971-Q1,Total New Orders Received (Forecast For Next Quarter),Precision Engineering,na
